feature,importance,fold
ACTIVE_CNT_CREDIT_PROLONG_SUM,1,1
ACTIVE_MONTHS_BALANCE_MIN_MIN,29,1
ACTIVE_MONTHS_BALANCE_MAX_MAX,30,1
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,95,1
ACTIVE_MONTHS_BALANCE_SIZE_SUM,43,1
CLOSED_DAYS_CREDIT_MIN,120,1
CLOSED_DAYS_CREDIT_MAX,301,1
CLOSED_DAYS_CREDIT_MEAN,126,1
CLOSED_DAYS_CREDIT_VAR,228,1
CLOSED_DAYS_CREDIT_ENDDATE_MIN,103,1
CLOSED_DAYS_CREDIT_ENDDATE_MAX,232,1
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,151,1
CLOSED_DAYS_CREDIT_UPDATE_MEAN,177,1
CLOSED_CREDIT_DAY_OVERDUE_MAX,0,1
CLOSED_CREDIT_DAY_OVERDUE_MEAN,0,1
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,112,1
CLOSED_AMT_CREDIT_SUM_MAX,125,1
CLOSED_AMT_CREDIT_SUM_MEAN,184,1
CLOSED_AMT_CREDIT_SUM_SUM,213,1
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,54,1
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,11,1
CLOSED_AMT_CREDIT_SUM_DEBT_SUM,5,1
CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN,0,1
CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,22,1
CLOSED_AMT_CREDIT_SUM_LIMIT_SUM,1,1
CLOSED_AMT_ANNUITY_MAX,63,1
CLOSED_AMT_ANNUITY_MEAN,36,1
CLOSED_CNT_CREDIT_PROLONG_SUM,0,1
CLOSED_MONTHS_BALANCE_MIN_MIN,41,1
CLOSED_MONTHS_BALANCE_MAX_MAX,8,1
CLOSED_MONTHS_BALANCE_SIZE_MEAN,80,1
CLOSED_MONTHS_BALANCE_SIZE_SUM,39,1
PREV_AMT_ANNUITY_MIN,145,1
PREV_AMT_ANNUITY_MAX,118,1
PREV_AMT_ANNUITY_MEAN,178,1
PREV_AMT_APPLICATION_MIN,51,1
PREV_AMT_APPLICATION_MAX,82,1
PREV_AMT_APPLICATION_MEAN,75,1
PREV_AMT_CREDIT_MIN,63,1
PREV_AMT_CREDIT_MAX,77,1
PREV_AMT_CREDIT_MEAN,155,1
PREV_APP_CREDIT_PERC_MIN,199,1
PREV_APP_CREDIT_PERC_MAX,127,1
PREV_APP_CREDIT_PERC_MEAN,192,1
PREV_APP_CREDIT_PERC_VAR,184,1
PREV_AMT_DOWN_PAYMENT_MIN,46,1
PREV_AMT_DOWN_PAYMENT_MAX,125,1
PREV_AMT_DOWN_PAYMENT_MEAN,88,1
PREV_AMT_GOODS_PRICE_MIN,104,1
PREV_AMT_GOODS_PRICE_MAX,30,1
PREV_AMT_GOODS_PRICE_MEAN,105,1
PREV_HOUR_APPR_PROCESS_START_MIN,35,1
